codigo_poligono,campos_faltantes
260410066,sector
260510101,"n_cic, cic_difusion, cic_inicio, cic_cierre"
260610106,"n_cic, cic_difusion, cic_inicio, cic_cierre"
260610108,"n_cic, cic_difusion, cic_inicio, cic_cierre"
260610109,"n_cic, cic_difusion, cic_inicio, cic_cierre"
260610114,"n_cic, cic_difusion, cic_inicio, cic_cierre"
