codigo_poligono,lote_empresa,entregable_cod_ign_fi,unidades_catastrales,sector,version,n_cic,cic_difusion,fotografias_difusion,cic_inicio,fotografias_inicio,cic_cierre,fotografias_cierre,distrito_oficial,lote_oficial,empresa_oficial,fuente_oficial,fuente_complementaria,complementado_desde_supervision,hoja,fila_excel
260410067,Lote 5 - Telespazio,E06 / VS_05,"2,585","19, 24, 25",V1,CIC-45,30/06/2026,,01/07/2026,,10/07/2026,,Villa El Salvador,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,Sí,L345-CIC,66
260410068,Lote 3A - EXP,E06 / IN_06,"2,867","30, 38, 39",V1,CIC-30,09/05/2026,,14/05/2026,,23/05/2026,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,38
260410071,Lote 5 - Telespazio,E06 / SJ_04,"2,415","31, 32",V1,CIC-43,23/06/2026,,28/06/2026,,07/07/2026,,San Juan de Miraflores,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,64
260410072,Lote 5 - Telespazio,E06 / CH_06,"2,585",19,V1,CIC-44,27/06/2026,,01/07/2026,,10/07/2026,,Chorrillos,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,Sí,L345-CIC,65
260410076,Lote 5 - Telespazio,E06 / VS_06,"2,516","11, 17, 18",V1,CIC-34,30/05/2026,,04/06/2026,,13/06/2026,,Villa El Salvador,5,TELESPAZIO,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,42
260510077,Lote 3B - EXP,E07 / CO_09,"2,933","32, 33",V1,CIC-33,29/05/2026,,03/06/2026,,12/06/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,41
260510078,Lote 3C - Insys,E05 / SP_08,"3,109","43, 54",V1,CIC-35,30/05/2026,,04/06/2026,,13/06/2026,,San Martin de Porres,3C,INSYS,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,43
260510080,Lote 3C - Insys,E05 / SP_10,"2,775","43, 44",V1,CIC-35,30/05/2026,,04/06/2026,,13/06/2026,,San Martin de Porres,3C,INSYS,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,44
260510081,Lote 3B - EXP,E07 / CO_10,"2,917","22, 23, 33",V1,CIC-37,05/06/2026,,10/06/2026,,19/06/2026,,Comas,3B,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,47
260510083,Lote 3A - EXP,E07 / IN_07,"3,079","28, 29, 30, 31, 32, 33, 34",V1,CIC-38,05/06/2026,,10/06/2026,,19/06/2026,,Independencia,3A,EXP,CIC_IGNFI_V2 (5).xlsx,Supervision_Comunicacion (6).xlsx,,L345-CIC,50
